test,status,responses,axi_beats,evictions,memory_words,mismatches,trace
axi_channel_waits,PASS,4,20,1,32,0,build/verilator/traces/axi_channel_waits.csv
backpressure,PASS,3,16,1,24,0,build/verilator/traces/backpressure.csv
byte_strobes,PASS,3,8,0,8,0,build/verilator/traces/byte_strobes.csv
clean_evict,PASS,3,12,0,24,0,build/verilator/traces/clean_evict.csv
cross_matrix,PASS,54,92,2,80,0,build/verilator/traces/cross_matrix.csv
dirty_evict,PASS,3,16,1,24,0,build/verilator/traces/dirty_evict.csv
flush_only,PASS,2,8,0,8,0,build/verilator/traces/flush_only.csv
invalidate_only,PASS,2,8,0,8,0,build/verilator/traces/invalidate_only.csv
maintenance,PASS,2,12,0,8,0,build/verilator/traces/maintenance.csv
maintenance_channel_waits,PASS,2,16,0,16,0,build/verilator/traces/maintenance_channel_waits.csv
maintenance_error,PASS,1,12,0,8,0,build/verilator/traces/maintenance_error.csv
maintenance_final_dirty,PASS,2,16,0,16,0,build/verilator/traces/maintenance_final_dirty.csv
misaligned,PASS,2,4,0,8,0,build/verilator/traces/misaligned.csv
performance_bp_0,PASS,103,568,46,152,0,build/verilator/traces/performance_bp_0.csv
performance_bp_25,PASS,103,568,46,152,0,build/verilator/traces/performance_bp_25.csv
performance_bp_50,PASS,103,568,46,152,0,build/verilator/traces/performance_bp_50.csv
performance_bp_75,PASS,103,568,46,152,0,build/verilator/traces/performance_bp_75.csv
random,PASS,100,540,4,744,0,build/verilator/traces/random.csv
read_error,PASS,2,8,0,8,0,build/verilator/traces/read_error.csv
read_hit,PASS,2,4,0,8,0,build/verilator/traces/read_hit.csv
read_miss,PASS,1,4,0,8,0,build/verilator/traces/read_miss.csv
reset_mid_refill,PASS,1,4,0,8,0,build/verilator/traces/reset_mid_refill.csv
response_backpressure,PASS,1,4,0,8,0,build/verilator/traces/response_backpressure.csv
smoke,PASS,4,8,0,8,0,build/verilator/traces/smoke.csv
stress_000,PASS,200,248,0,248,0,build/verilator/traces/stress_000.csv
stress_001,PASS,50,300,29,104,0,build/verilator/traces/stress_001.csv
stress_002,PASS,50,140,0,216,0,build/verilator/traces/stress_002.csv
stress_003,PASS,202,1212,127,128,0,build/verilator/traces/stress_003.csv
stress_004,PASS,200,240,0,256,0,build/verilator/traces/stress_004.csv
stress_005,PASS,200,1248,131,128,0,build/verilator/traces/stress_005.csv
stress_006,PASS,100,556,22,520,0,build/verilator/traces/stress_006.csv
stress_007,PASS,101,84,0,112,0,build/verilator/traces/stress_007.csv
stress_008,PASS,100,644,72,128,0,build/verilator/traces/stress_008.csv
stress_009,PASS,200,1224,131,128,0,build/verilator/traces/stress_009.csv
stress_010,PASS,200,1288,58,1312,0,build/verilator/traces/stress_010.csv
stress_011,PASS,51,52,0,64,0,build/verilator/traces/stress_011.csv
stress_012,PASS,200,252,0,256,0,build/verilator/traces/stress_012.csv
stress_013,PASS,200,1224,129,128,0,build/verilator/traces/stress_013.csv
stress_014,PASS,100,524,10,632,0,build/verilator/traces/stress_014.csv
stress_015,PASS,201,952,17,1544,0,build/verilator/traces/stress_015.csv
stress_016,PASS,100,564,16,576,0,build/verilator/traces/stress_016.csv
stress_017,PASS,200,1268,141,128,0,build/verilator/traces/stress_017.csv
stress_018,PASS,100,472,13,520,0,build/verilator/traces/stress_018.csv
stress_019,PASS,100,80,0,104,0,build/verilator/traces/stress_019.csv
stress_020,PASS,100,532,22,512,0,build/verilator/traces/stress_020.csv
stress_021,PASS,200,1276,140,128,0,build/verilator/traces/stress_021.csv
stress_022,PASS,200,200,0,200,0,build/verilator/traces/stress_022.csv
stress_023,PASS,101,552,6,800,0,build/verilator/traces/stress_023.csv
stress_024,PASS,100,484,7,712,0,build/verilator/traces/stress_024.csv
stress_025,PASS,50,280,30,128,0,build/verilator/traces/stress_025.csv
stress_026,PASS,100,208,0,248,0,build/verilator/traces/stress_026.csv
stress_027,PASS,100,300,0,256,0,build/verilator/traces/stress_027.csv
stress_028,PASS,100,572,18,656,0,build/verilator/traces/stress_028.csv
stress_029,PASS,100,620,65,128,0,build/verilator/traces/stress_029.csv
stress_030,PASS,100,484,10,520,0,build/verilator/traces/stress_030.csv
stress_031,PASS,202,1252,138,128,0,build/verilator/traces/stress_031.csv
stress_032,PASS,200,256,0,256,0,build/verilator/traces/stress_032.csv
stress_033,PASS,200,1256,139,128,0,build/verilator/traces/stress_033.csv
stress_034,PASS,200,256,0,256,0,build/verilator/traces/stress_034.csv
stress_035,PASS,100,320,0,240,0,build/verilator/traces/stress_035.csv
stress_036,PASS,200,1240,130,128,0,build/verilator/traces/stress_036.csv
stress_037,PASS,100,616,66,128,0,build/verilator/traces/stress_037.csv
stress_038,PASS,100,200,0,248,0,build/verilator/traces/stress_038.csv
stress_039,PASS,202,1188,133,128,0,build/verilator/traces/stress_039.csv
stress_040,PASS,200,1132,99,128,0,build/verilator/traces/stress_040.csv
stress_041,PASS,50,312,31,128,0,build/verilator/traces/stress_041.csv
stress_042,PASS,100,104,0,104,0,build/verilator/traces/stress_042.csv
stress_043,PASS,100,88,0,104,0,build/verilator/traces/stress_043.csv
stress_044,PASS,100,220,0,256,0,build/verilator/traces/stress_044.csv
stress_045,PASS,50,284,27,128,0,build/verilator/traces/stress_045.csv
stress_046,PASS,50,52,0,56,0,build/verilator/traces/stress_046.csv
stress_047,PASS,102,644,71,128,0,build/verilator/traces/stress_047.csv
stress_048,PASS,200,1144,104,128,0,build/verilator/traces/stress_048.csv
stress_049,PASS,50,288,29,120,0,build/verilator/traces/stress_049.csv
stress_050,PASS,200,928,52,128,0,build/verilator/traces/stress_050.csv
stress_051,PASS,202,1245,139,128,0,build/verilator/traces/stress_051.csv
stress_052,PASS,200,1388,66,1304,0,build/verilator/traces/stress_052.csv
stress_053,PASS,50,316,34,128,0,build/verilator/traces/stress_053.csv
stress_054,PASS,100,564,16,712,0,build/verilator/traces/stress_054.csv
stress_055,PASS,101,572,57,136,0,build/verilator/traces/stress_055.csv
stress_056,PASS,50,276,25,128,0,build/verilator/traces/stress_056.csv
stress_057,PASS,100,608,60,128,0,build/verilator/traces/stress_057.csv
stress_058,PASS,50,56,0,56,0,build/verilator/traces/stress_058.csv
stress_059,PASS,200,1080,93,128,0,build/verilator/traces/stress_059.csv
stress_060,PASS,200,1172,42,1288,0,build/verilator/traces/stress_060.csv
stress_061,PASS,200,1228,130,128,0,build/verilator/traces/stress_061.csv
stress_062,PASS,50,56,0,56,0,build/verilator/traces/stress_062.csv
stress_063,PASS,100,228,0,256,0,build/verilator/traces/stress_063.csv
stress_064,PASS,200,1292,143,128,0,build/verilator/traces/stress_064.csv
stress_065,PASS,100,612,66,128,0,build/verilator/traces/stress_065.csv
stress_066,PASS,100,104,0,104,0,build/verilator/traces/stress_066.csv
stress_067,PASS,200,960,54,128,0,build/verilator/traces/stress_067.csv
stress_068,PASS,200,244,0,256,0,build/verilator/traces/stress_068.csv
stress_069,PASS,100,604,63,128,0,build/verilator/traces/stress_069.csv
stress_070,PASS,50,256,21,128,0,build/verilator/traces/stress_070.csv
stress_071,PASS,100,292,0,240,0,build/verilator/traces/stress_071.csv
stress_072,PASS,200,252,0,256,0,build/verilator/traces/stress_072.csv
stress_073,PASS,200,1284,145,128,0,build/verilator/traces/stress_073.csv
stress_074,PASS,200,192,0,200,0,build/verilator/traces/stress_074.csv
stress_075,PASS,201,1012,20,1528,0,build/verilator/traces/stress_075.csv
stress_076,PASS,100,172,0,232,0,build/verilator/traces/stress_076.csv
stress_077,PASS,50,296,31,120,0,build/verilator/traces/stress_077.csv
stress_078,PASS,50,220,5,288,0,build/verilator/traces/stress_078.csv
stress_079,PASS,100,512,43,128,0,build/verilator/traces/stress_079.csv
stress_080,PASS,50,296,28,128,0,build/verilator/traces/stress_080.csv
stress_081,PASS,50,328,34,128,0,build/verilator/traces/stress_081.csv
stress_082,PASS,100,584,38,352,0,build/verilator/traces/stress_082.csv
stress_083,PASS,50,56,0,56,0,build/verilator/traces/stress_083.csv
stress_084,PASS,50,144,0,224,0,build/verilator/traces/stress_084.csv
stress_085,PASS,100,632,67,128,0,build/verilator/traces/stress_085.csv
stress_086,PASS,100,228,0,240,0,build/verilator/traces/stress_086.csv
stress_087,PASS,50,180,0,232,0,build/verilator/traces/stress_087.csv
stress_088,PASS,50,248,3,376,0,build/verilator/traces/stress_088.csv
stress_089,PASS,200,1196,129,128,0,build/verilator/traces/stress_089.csv
stress_090,PASS,50,56,0,56,0,build/verilator/traces/stress_090.csv
stress_091,PASS,50,156,0,200,0,build/verilator/traces/stress_091.csv
stress_092,PASS,100,580,54,128,0,build/verilator/traces/stress_092.csv
stress_093,PASS,200,1264,133,128,0,build/verilator/traces/stress_093.csv
stress_094,PASS,200,860,43,128,0,build/verilator/traces/stress_094.csv
stress_095,PASS,52,300,31,112,0,build/verilator/traces/stress_095.csv
stress_096,PASS,100,544,48,128,0,build/verilator/traces/stress_096.csv
stress_097,PASS,100,624,69,128,0,build/verilator/traces/stress_097.csv
stress_098,PASS,100,568,47,128,0,build/verilator/traces/stress_098.csv
stress_099,PASS,101,96,0,112,0,build/verilator/traces/stress_099.csv
write_error,PASS,4,16,1,16,0,build/verilator/traces/write_error.csv
write_hit,PASS,3,8,0,8,0,build/verilator/traces/write_hit.csv
write_miss,PASS,2,8,0,8,0,build/verilator/traces/write_miss.csv
