backpressure_percent,kind,id,latency_cycles,error,trace
50,clean-miss,2,18,0,build/verilator/traces/performance_bp_50.csv
50,clean-miss,3,18,0,build/verilator/traces/performance_bp_50.csv
50,clean-miss,4,18,0,build/verilator/traces/performance_bp_50.csv
50,clean-miss,5,18,0,build/verilator/traces/performance_bp_50.csv
50,dirty-miss,6,26,0,build/verilator/traces/performance_bp_50.csv
50,dirty-miss,7,26,0,build/verilator/traces/performance_bp_50.csv
50,clean-miss,8,18,0,build/verilator/traces/performance_bp_50.csv
50,clean-miss,9,18,0,build/verilator/traces/performance_bp_50.csv
50,dirty-miss,10,26,0,build/verilator/traces/performance_bp_50.csv
50,dirty-miss,11,26,0,build/verilator/traces/performance_bp_50.csv
50,clean-miss,12,18,0,build/verilator/traces/performance_bp_50.csv
50,clean-miss,13,17,0,build/verilator/traces/performance_bp_50.csv
50,clean-miss,14,18,0,build/verilator/traces/performance_bp_50.csv
50,hit,15,2,0,build/verilator/traces/performance_bp_50.csv
50,clean-miss,16,15,0,build/verilator/traces/performance_bp_50.csv
50,clean-miss,17,15,0,build/verilator/traces/performance_bp_50.csv
50,hit,18,2,0,build/verilator/traces/performance_bp_50.csv
50,clean-miss,19,15,0,build/verilator/traces/performance_bp_50.csv
50,dirty-miss,20,26,0,build/verilator/traces/performance_bp_50.csv
50,dirty-miss,21,26,0,build/verilator/traces/performance_bp_50.csv
50,clean-miss,22,18,0,build/verilator/traces/performance_bp_50.csv
50,dirty-miss,23,26,0,build/verilator/traces/performance_bp_50.csv
50,dirty-miss,24,26,0,build/verilator/traces/performance_bp_50.csv
50,clean-miss,25,18,0,build/verilator/traces/performance_bp_50.csv
50,dirty-miss,26,26,0,build/verilator/traces/performance_bp_50.csv
50,clean-miss,27,16,0,build/verilator/traces/performance_bp_50.csv
50,clean-miss,28,18,0,build/verilator/traces/performance_bp_50.csv
50,clean-miss,29,17,0,build/verilator/traces/performance_bp_50.csv
50,clean-miss,30,18,0,build/verilator/traces/performance_bp_50.csv
50,clean-miss,31,16,0,build/verilator/traces/performance_bp_50.csv
50,dirty-miss,32,26,0,build/verilator/traces/performance_bp_50.csv
50,clean-miss,33,18,0,build/verilator/traces/performance_bp_50.csv
50,dirty-miss,34,26,0,build/verilator/traces/performance_bp_50.csv
50,dirty-miss,35,26,0,build/verilator/traces/performance_bp_50.csv
50,dirty-miss,36,26,0,build/verilator/traces/performance_bp_50.csv
50,dirty-miss,37,28,0,build/verilator/traces/performance_bp_50.csv
50,dirty-miss,38,26,0,build/verilator/traces/performance_bp_50.csv
50,clean-miss,39,16,0,build/verilator/traces/performance_bp_50.csv
50,clean-miss,40,17,0,build/verilator/traces/performance_bp_50.csv
50,hit,41,2,0,build/verilator/traces/performance_bp_50.csv
50,clean-miss,42,15,0,build/verilator/traces/performance_bp_50.csv
50,dirty-miss,43,26,0,build/verilator/traces/performance_bp_50.csv
50,dirty-miss,44,26,0,build/verilator/traces/performance_bp_50.csv
50,hit,45,2,0,build/verilator/traces/performance_bp_50.csv
50,dirty-miss,46,29,0,build/verilator/traces/performance_bp_50.csv
50,dirty-miss,47,29,0,build/verilator/traces/performance_bp_50.csv
50,clean-miss,48,18,0,build/verilator/traces/performance_bp_50.csv
50,dirty-miss,49,26,0,build/verilator/traces/performance_bp_50.csv
50,clean-miss,50,17,0,build/verilator/traces/performance_bp_50.csv
50,clean-miss,51,18,0,build/verilator/traces/performance_bp_50.csv
50,clean-miss,52,18,0,build/verilator/traces/performance_bp_50.csv
50,clean-miss,53,16,0,build/verilator/traces/performance_bp_50.csv
50,dirty-miss,54,26,0,build/verilator/traces/performance_bp_50.csv
50,clean-miss,55,17,0,build/verilator/traces/performance_bp_50.csv
50,dirty-miss,56,27,0,build/verilator/traces/performance_bp_50.csv
50,hit,57,2,0,build/verilator/traces/performance_bp_50.csv
50,dirty-miss,58,28,0,build/verilator/traces/performance_bp_50.csv
50,dirty-miss,59,29,0,build/verilator/traces/performance_bp_50.csv
50,dirty-miss,60,26,0,build/verilator/traces/performance_bp_50.csv
50,clean-miss,61,18,0,build/verilator/traces/performance_bp_50.csv
50,clean-miss,62,18,0,build/verilator/traces/performance_bp_50.csv
50,clean-miss,63,17,0,build/verilator/traces/performance_bp_50.csv
50,dirty-miss,64,26,0,build/verilator/traces/performance_bp_50.csv
50,clean-miss,65,18,0,build/verilator/traces/performance_bp_50.csv
50,dirty-miss,66,26,0,build/verilator/traces/performance_bp_50.csv
50,dirty-miss,67,26,0,build/verilator/traces/performance_bp_50.csv
50,dirty-miss,68,26,0,build/verilator/traces/performance_bp_50.csv
50,dirty-miss,69,27,0,build/verilator/traces/performance_bp_50.csv
50,clean-miss,70,17,0,build/verilator/traces/performance_bp_50.csv
50,clean-miss,71,18,0,build/verilator/traces/performance_bp_50.csv
50,dirty-miss,72,26,0,build/verilator/traces/performance_bp_50.csv
50,clean-miss,73,16,0,build/verilator/traces/performance_bp_50.csv
50,clean-miss,74,18,0,build/verilator/traces/performance_bp_50.csv
50,dirty-miss,75,26,0,build/verilator/traces/performance_bp_50.csv
50,dirty-miss,76,26,0,build/verilator/traces/performance_bp_50.csv
50,dirty-miss,77,26,0,build/verilator/traces/performance_bp_50.csv
50,dirty-miss,78,28,0,build/verilator/traces/performance_bp_50.csv
50,dirty-miss,79,26,0,build/verilator/traces/performance_bp_50.csv
50,clean-miss,80,16,0,build/verilator/traces/performance_bp_50.csv
50,dirty-miss,81,26,0,build/verilator/traces/performance_bp_50.csv
50,clean-miss,82,18,0,build/verilator/traces/performance_bp_50.csv
50,hit,83,2,0,build/verilator/traces/performance_bp_50.csv
50,hit,84,2,0,build/verilator/traces/performance_bp_50.csv
50,clean-miss,85,17,0,build/verilator/traces/performance_bp_50.csv
50,dirty-miss,86,29,0,build/verilator/traces/performance_bp_50.csv
50,hit,87,2,0,build/verilator/traces/performance_bp_50.csv
50,dirty-miss,88,25,0,build/verilator/traces/performance_bp_50.csv
50,clean-miss,89,16,0,build/verilator/traces/performance_bp_50.csv
50,dirty-miss,90,26,0,build/verilator/traces/performance_bp_50.csv
50,dirty-miss,91,26,0,build/verilator/traces/performance_bp_50.csv
50,dirty-miss,92,26,0,build/verilator/traces/performance_bp_50.csv
50,clean-miss,93,18,0,build/verilator/traces/performance_bp_50.csv
50,dirty-miss,94,26,0,build/verilator/traces/performance_bp_50.csv
50,hit,95,2,0,build/verilator/traces/performance_bp_50.csv
50,clean-miss,96,14,0,build/verilator/traces/performance_bp_50.csv
50,dirty-miss,97,26,0,build/verilator/traces/performance_bp_50.csv
50,dirty-miss,98,27,0,build/verilator/traces/performance_bp_50.csv
50,hit,99,2,0,build/verilator/traces/performance_bp_50.csv
50,clean-miss,100,14,0,build/verilator/traces/performance_bp_50.csv
50,dirty-miss,101,26,0,build/verilator/traces/performance_bp_50.csv
50,maintenance-flush,-1,151,0,build/verilator/traces/performance_bp_50.csv
50,clean-miss,102,18,0,build/verilator/traces/performance_bp_50.csv
50,maintenance-invalidate,-1,129,0,build/verilator/traces/performance_bp_50.csv
50,clean-miss,103,17,0,build/verilator/traces/performance_bp_50.csv
50,maintenance-flush-invalidate,-1,138,0,build/verilator/traces/performance_bp_50.csv
75,clean-miss,1,22,0,build/verilator/traces/performance_bp_75.csv
75,clean-miss,2,23,0,build/verilator/traces/performance_bp_75.csv
75,clean-miss,3,21,0,build/verilator/traces/performance_bp_75.csv
75,clean-miss,4,26,0,build/verilator/traces/performance_bp_75.csv
75,clean-miss,5,23,0,build/verilator/traces/performance_bp_75.csv
75,dirty-miss,6,40,0,build/verilator/traces/performance_bp_75.csv
75,dirty-miss,7,45,0,build/verilator/traces/performance_bp_75.csv
75,clean-miss,8,23,0,build/verilator/traces/performance_bp_75.csv
75,clean-miss,9,23,0,build/verilator/traces/performance_bp_75.csv
75,dirty-miss,10,48,0,build/verilator/traces/performance_bp_75.csv
75,dirty-miss,11,42,0,build/verilator/traces/performance_bp_75.csv
75,clean-miss,12,21,0,build/verilator/traces/performance_bp_75.csv
75,clean-miss,13,26,0,build/verilator/traces/performance_bp_75.csv
75,clean-miss,14,23,0,build/verilator/traces/performance_bp_75.csv
75,hit,15,2,0,build/verilator/traces/performance_bp_75.csv
75,clean-miss,16,23,0,build/verilator/traces/performance_bp_75.csv
75,clean-miss,17,21,0,build/verilator/traces/performance_bp_75.csv
75,hit,18,2,0,build/verilator/traces/performance_bp_75.csv
75,clean-miss,19,28,0,build/verilator/traces/performance_bp_75.csv
75,dirty-miss,20,45,0,build/verilator/traces/performance_bp_75.csv
75,dirty-miss,21,45,0,build/verilator/traces/performance_bp_75.csv
75,clean-miss,22,21,0,build/verilator/traces/performance_bp_75.csv
75,dirty-miss,23,42,0,build/verilator/traces/performance_bp_75.csv
75,dirty-miss,24,45,0,build/verilator/traces/performance_bp_75.csv
75,clean-miss,25,23,0,build/verilator/traces/performance_bp_75.csv
75,dirty-miss,26,45,0,build/verilator/traces/performance_bp_75.csv
75,clean-miss,27,26,0,build/verilator/traces/performance_bp_75.csv
75,clean-miss,28,26,0,build/verilator/traces/performance_bp_75.csv
75,clean-miss,29,26,0,build/verilator/traces/performance_bp_75.csv
75,clean-miss,30,29,0,build/verilator/traces/performance_bp_75.csv
75,clean-miss,31,21,0,build/verilator/traces/performance_bp_75.csv
75,dirty-miss,32,42,0,build/verilator/traces/performance_bp_75.csv
75,clean-miss,33,23,0,build/verilator/traces/performance_bp_75.csv
75,dirty-miss,34,45,0,build/verilator/traces/performance_bp_75.csv
75,dirty-miss,35,40,0,build/verilator/traces/performance_bp_75.csv
75,dirty-miss,36,45,0,build/verilator/traces/performance_bp_75.csv
75,dirty-miss,37,42,0,build/verilator/traces/performance_bp_75.csv
75,dirty-miss,38,45,0,build/verilator/traces/performance_bp_75.csv
75,clean-miss,39,23,0,build/verilator/traces/performance_bp_75.csv
75,clean-miss,40,21,0,build/verilator/traces/performance_bp_75.csv
75,hit,41,2,0,build/verilator/traces/performance_bp_75.csv
75,clean-miss,42,23,0,build/verilator/traces/performance_bp_75.csv
75,dirty-miss,43,45,0,build/verilator/traces/performance_bp_75.csv
75,dirty-miss,44,42,0,build/verilator/traces/performance_bp_75.csv
75,hit,45,2,0,build/verilator/traces/performance_bp_75.csv
75,dirty-miss,46,45,0,build/verilator/traces/performance_bp_75.csv
75,dirty-miss,47,42,0,build/verilator/traces/performance_bp_75.csv
75,clean-miss,48,23,0,build/verilator/traces/performance_bp_75.csv
75,dirty-miss,49,45,0,build/verilator/traces/performance_bp_75.csv
75,clean-miss,50,21,0,build/verilator/traces/performance_bp_75.csv
75,clean-miss,51,23,0,build/verilator/traces/performance_bp_75.csv
75,clean-miss,52,26,0,build/verilator/traces/performance_bp_75.csv
75,clean-miss,53,21,0,build/verilator/traces/performance_bp_75.csv
75,dirty-miss,54,42,0,build/verilator/traces/performance_bp_75.csv
75,clean-miss,55,26,0,build/verilator/traces/performance_bp_75.csv
75,dirty-miss,56,42,0,build/verilator/traces/performance_bp_75.csv
75,hit,57,2,0,build/verilator/traces/performance_bp_75.csv
75,dirty-miss,58,42,0,build/verilator/traces/performance_bp_75.csv
75,dirty-miss,59,45,0,build/verilator/traces/performance_bp_75.csv
75,dirty-miss,60,40,0,build/verilator/traces/performance_bp_75.csv
75,clean-miss,61,26,0,build/verilator/traces/performance_bp_75.csv
75,clean-miss,62,23,0,build/verilator/traces/performance_bp_75.csv
75,clean-miss,63,21,0,build/verilator/traces/performance_bp_75.csv
75,dirty-miss,64,42,0,build/verilator/traces/performance_bp_75.csv
75,clean-miss,65,23,0,build/verilator/traces/performance_bp_75.csv
75,dirty-miss,66,45,0,build/verilator/traces/performance_bp_75.csv
75,dirty-miss,67,45,0,build/verilator/traces/performance_bp_75.csv
75,dirty-miss,68,40,0,build/verilator/traces/performance_bp_75.csv
75,dirty-miss,69,42,0,build/verilator/traces/performance_bp_75.csv
75,clean-miss,70,23,0,build/verilator/traces/performance_bp_75.csv
75,clean-miss,71,26,0,build/verilator/traces/performance_bp_75.csv
75,dirty-miss,72,45,0,build/verilator/traces/performance_bp_75.csv
75,clean-miss,73,26,0,build/verilator/traces/performance_bp_75.csv
75,clean-miss,74,26,0,build/verilator/traces/performance_bp_75.csv
75,dirty-miss,75,45,0,build/verilator/traces/performance_bp_75.csv
75,dirty-miss,76,45,0,build/verilator/traces/performance_bp_75.csv
75,dirty-miss,77,40,0,build/verilator/traces/performance_bp_75.csv
75,dirty-miss,78,45,0,build/verilator/traces/performance_bp_75.csv
75,dirty-miss,79,42,0,build/verilator/traces/performance_bp_75.csv
75,clean-miss,80,23,0,build/verilator/traces/performance_bp_75.csv
75,dirty-miss,81,45,0,build/verilator/traces/performance_bp_75.csv
75,clean-miss,82,21,0,build/verilator/traces/performance_bp_75.csv
75,hit,83,2,0,build/verilator/traces/performance_bp_75.csv
75,hit,84,2,0,build/verilator/traces/performance_bp_75.csv
75,clean-miss,85,20,0,build/verilator/traces/performance_bp_75.csv
75,dirty-miss,86,45,0,build/verilator/traces/performance_bp_75.csv
75,hit,87,2,0,build/verilator/traces/performance_bp_75.csv
75,dirty-miss,88,42,0,build/verilator/traces/performance_bp_75.csv
75,clean-miss,89,26,0,build/verilator/traces/performance_bp_75.csv
75,dirty-miss,90,42,0,build/verilator/traces/performance_bp_75.csv
75,dirty-miss,91,42,0,build/verilator/traces/performance_bp_75.csv
75,dirty-miss,92,45,0,build/verilator/traces/performance_bp_75.csv
75,clean-miss,93,21,0,build/verilator/traces/performance_bp_75.csv
75,dirty-miss,94,45,0,build/verilator/traces/performance_bp_75.csv
75,hit,95,2,0,build/verilator/traces/performance_bp_75.csv
75,clean-miss,96,23,0,build/verilator/traces/performance_bp_75.csv
75,dirty-miss,97,42,0,build/verilator/traces/performance_bp_75.csv
75,dirty-miss,98,45,0,build/verilator/traces/performance_bp_75.csv
75,hit,99,2,0,build/verilator/traces/performance_bp_75.csv
75,clean-miss,100,23,0,build/verilator/traces/performance_bp_75.csv
75,dirty-miss,101,42,0,build/verilator/traces/performance_bp_75.csv
75,maintenance-flush,-1,169,0,build/verilator/traces/performance_bp_75.csv
75,clean-miss,102,24,0,build/verilator/traces/performance_bp_75.csv
75,maintenance-invalidate,-1,129,0,build/verilator/traces/performance_bp_75.csv
75,clean-miss,103,23,0,build/verilator/traces/performance_bp_75.csv
75,maintenance-flush-invalidate,-1,148,0,build/verilator/traces/performance_bp_75.csv
